group,image_path,p,yhat,json_ok,evidence_ok,hallucination,too_long,fail_safe,fail_reason,unsupported_localization,unsupported_size,unsupported_tension,unsupported_imaging_sign,report_word_count,diagnostic_report,evidence_text_ids,evidence_case_ids
G0_llm_only,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\564_test_0_.png,0.026106104254722595,0,True,True,False,False,False,,False,False,False,False,64,"Clinical context: Screening for pneumothorax.
Technique: AI-assisted analysis of chest radiograph.
Findings: No features suggestive of pneumothorax are identified.
Impression: Not suggestive of pneumothorax.
Recommendations: Clinical correlation is advised. Further imaging may be considered if clinical suspicion persists.
Limitations: This analysis is limited to a binary screening assessment. Localization, laterality, size, extent, and assessment for tension physiology are not available from this output.",[],[]
G1_image_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\564_test_0_.png,0.026106104254722595,0,True,True,False,False,False,,False,False,False,False,47,"Clinical context: Screening for pneumothorax.
Technique: Chest radiograph.
Findings: No pneumothorax is identified.
Impression: Not suggestive of pneumothorax.
Recommendations: Clinical correlation is advised.
Limitations: The assessment is based on a single view. Localization, laterality, size, extent, and assessment for tension physiology are not available from this output.",[],"[""1.2.276.0.7230010.3.1.4.8323329.14006.1517875249.93352"", ""1.2.276.0.7230010.3.1.4.8323329.4939.1517875185.563513"", ""1.2.276.0.7230010.3.1.4.8323329.1038.1517875166.7134"", ""1.2.276.0.7230010.3.1.4.8323329.1926.1517875170.276641"", ""1.2.276.0.7230010.3.1.4.8323329.4340.1517875182.354827""]"
G2_text_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\564_test_0_.png,0.026106104254722595,0,True,True,False,False,False,,False,False,False,False,80,"Clinical context: Automated screening for pneumothorax.
Technique: Automated analysis performed.
Findings: The automated screening output is not suggestive of pneumothorax. This does not fully exclude disease in every case.
Impression: Impression is not suggestive of pneumothorax on this automated screening output, with continued need for human review.
Recommendations: Clinical correlation and review by a qualified radiologist is required.
Limitations: This is a classification-only output. Assessment of laterality, localization, size, extent, or tension physiology is not available from this output.","[""KB_064"", ""KB_072""]",[]
G3_both,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\564_test_0_.png,0.026106104254722595,0,True,True,False,False,False,,False,False,False,False,98,"Clinical context: Automated screening for pneumothorax.
Technique: Analysis performed using an automated screening algorithm.
Findings: The automated screening output is not suggestive of pneumothorax.
Impression: Impression is not suggestive of pneumothorax on this automated screening output.
Recommendations: This output requires review by a qualified radiologist. This does not fully exclude disease in every case.
Limitations: This is an automated screening output. The underlying algorithm was applied to a case with limited contextual support from its reference library, which should prompt appropriate clinical caution. Assessment of laterality, localization, size, extent, or tension physiology is not available from this output.","[""KB_064"", ""KB_072""]","[""1.2.276.0.7230010.3.1.4.8323329.14006.1517875249.93352"", ""1.2.276.0.7230010.3.1.4.8323329.4939.1517875185.563513"", ""1.2.276.0.7230010.3.1.4.8323329.1038.1517875166.7134"", ""1.2.276.0.7230010.3.1.4.8323329.1926.1517875170.276641"", ""1.2.276.0.7230010.3.1.4.8323329.4340.1517875182.354827""]"
G0_llm_only,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\9337_train_0_.png,0.050102874636650085,0,True,True,False,False,False,,False,False,False,False,61,"Clinical context: Screening for pneumothorax.
Technique: AI-assisted analysis of chest radiograph.
Findings: No evidence suggestive of pneumothorax.
Impression: Not suggestive of pneumothorax.
Recommendations: Clinical correlation is advised. Further assessment may be considered if clinical suspicion persists.
Limitations: This analysis is limited to screening for pneumothorax. Localization, laterality, size, extent, and assessment for tension physiology are not available from this output.",[],[]
G1_image_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\9337_train_0_.png,0.050102874636650085,0,True,True,False,False,False,,False,False,False,False,43,"Clinical context: Screening for pneumothorax.
Technique: Chest radiograph.
Findings: No pneumothorax is identified.
Impression: Not suggestive of pneumothorax.
Recommendations: Clinical correlation is advised.
Limitations: The assessment is based on a single view. Localization, laterality, size, and extent are not available from this output.",[],"[""1.2.276.0.7230010.3.1.4.8323329.14006.1517875249.93352"", ""1.2.276.0.7230010.3.1.4.8323329.4939.1517875185.563513"", ""1.2.276.0.7230010.3.1.4.8323329.1038.1517875166.7134"", ""1.2.276.0.7230010.3.1.4.8323329.1926.1517875170.276641"", ""1.2.276.0.7230010.3.1.4.8323329.5038.1517875186.83236""]"
G2_text_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\9337_train_0_.png,0.050102874636650085,0,True,True,False,False,False,,False,False,False,False,107,"Clinical context: Automated screening for pneumothorax.
Technique: Automated analysis performed.
Findings: The automated screening output is not suggestive of pneumothorax. This does not fully exclude disease in every case.
Impression: Impression is not suggestive of pneumothorax on this automated screening output, with continued need for human review.
Recommendations: This output requires review by a qualified radiologist. Assessment of laterality, localization, size, extent, or tension physiology is not available from this automated output.
Limitations: This is an automated screening output with inherent limitations. The conclusion should be interpreted with appropriate clinical caution. Final diagnosis requires correlation with the complete clinical context and full human interpretation of the images.","[""KB_064"", ""KB_072"", ""KB_065""]",[]
G3_both,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\9337_train_0_.png,0.050102874636650085,0,True,True,False,False,False,,False,False,False,False,108,"Clinical context: Automated screening for pneumothorax.
Technique: Automated analysis performed.
Findings: The automated screening output is not suggestive of pneumothorax. This does not fully exclude disease in every case.
Impression: Impression is not suggestive of pneumothorax on this automated screening output, with continued need for human review.
Recommendations: Clinical correlation and review by a qualified radiologist is required. Assessment of laterality, localization, size, extent, or tension physiology is not available from this output.
Limitations: This is an automated screening output. The underlying analysis was performed in a context of low similarity to reference cases, which may affect stability. The final diagnosis must be made by a qualified radiologist.","[""KB_064"", ""KB_072""]","[""1.2.276.0.7230010.3.1.4.8323329.14006.1517875249.93352"", ""1.2.276.0.7230010.3.1.4.8323329.4939.1517875185.563513"", ""1.2.276.0.7230010.3.1.4.8323329.1038.1517875166.7134"", ""1.2.276.0.7230010.3.1.4.8323329.1926.1517875170.276641"", ""1.2.276.0.7230010.3.1.4.8323329.5038.1517875186.83236""]"
G0_llm_only,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\8353_train_0_.png,0.04323223978281021,0,True,True,False,False,False,,False,False,False,False,82,"Clinical context: Screening for pneumothorax.
Technique: AI-assisted analysis of chest radiograph.
Findings: The findings are not suggestive of pneumothorax.
Impression: No evidence of pneumothorax is identified.
Recommendations: Clinical correlation is advised. Further imaging may be considered if clinical suspicion persists.
Limitations: This is a screening assessment. The analysis does not provide localization, laterality, size, or extent of any potential finding. The assessment for tension physiology is not available from this output. The findings should be interpreted within the full clinical context.",[],[]
G1_image_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\8353_train_0_.png,0.04323223978281021,0,True,True,False,False,False,,False,False,False,False,83,"Clinical context: Screening for pneumothorax.
Technique: Single-view chest radiograph.
Findings: No pneumothorax is identified. The lung fields appear clear without evidence of pleural line separation.
Impression: Not suggestive of pneumothorax.
Recommendations: Clinical correlation is advised. If clinical suspicion persists, consider additional imaging or follow-up as clinically indicated.
Limitations: This assessment is based on a single view. Localization, laterality, size, extent, and assessment for tension physiology are not available from this output. The findings should be interpreted in the full clinical context.",[],[]
