group,image_path,p,yhat,json_ok,evidence_ok,hallucination,too_long,fail_safe,fail_reason,unsupported_localization,unsupported_size,unsupported_tension,unsupported_imaging_sign,report_word_count,diagnostic_report,evidence_text_ids,evidence_case_ids
G0_llm_only,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\564_test_0_.png,0.026106104254722595,0,True,True,False,False,False,,False,False,False,False,77,"Clinical context: Screening for pneumothorax.
Technique: Chest radiograph.
Findings: The output is not suggestive of pneumothorax.
Impression: No evidence of pneumothorax is suggested by this output.
Recommendations: Clinical correlation is always required. The findings should be integrated with the patient's clinical presentation and other available diagnostic information.
Limitations: This output does not provide localization, laterality, size, extent, or assessment for tension physiology. The interpretation is based on a screening output and is not a definitive diagnostic statement.",[],[]
G1_image_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\564_test_0_.png,0.026106104254722595,0,True,True,False,False,False,,False,False,False,False,89,"Clinical context: Screening for pneumothorax.
Technique: Chest radiograph.
Findings: The output is not suggestive of pneumothorax.
Impression: No evidence of pneumothorax is suggested by this output.
Recommendations: Clinical correlation is required. The findings should be interpreted in the context of the patient's clinical presentation and physical examination.
Limitations: This output does not provide localization, laterality, size, extent, or assessment for tension physiology. The absence of suggested findings does not definitively exclude a pneumothorax, particularly a small or localized one. The final interpretation must be made by a qualified radiologist.",[],[]
G2_text_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\564_test_0_.png,0.026106104254722595,0,True,True,False,False,False,,False,False,False,False,84,"Clinical context: AI-assisted screening for pneumothorax.
Technique: Automated binary classification analysis of chest radiograph.
Findings: The output is not suggestive of pneumothorax.
Impression: No evidence of pneumothorax is suggested by this classification-only output. No localization, laterality, size, extent, or assessment for tension physiology is available from this output.
Recommendations: Human review and clinical correlation are required. False negatives can occur.
Limitations: This is a binary classification output without localization or severity assessment. It must not be used as a standalone diagnostic tool.","[""KB_050"", ""KB_009"", ""KB_001""]",[]
G3_both,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\564_test_0_.png,0.026106104254722595,0,True,True,False,False,False,,False,False,False,False,111,"Clinical context: Chest X-ray for pneumothorax screening.
Technique: Frontal chest radiograph.
Findings: The classifier output is not suggestive of pneumothorax (binary classification only).
Impression: The model output is strongly not suggestive of pneumothorax based on a calibrated probability far from the threshold. This result provides no localization, laterality, size, extent, or tension assessment.
Recommendations: Human review and clinical correlation are required; false negatives can occur.
Limitations: This system provides research-only decision support. The output is limited to binary classification and must not be used as a standalone diagnostic tool. A positive prediction can occur in non-pneumothorax cases; therefore, avoid escalation language and rely on human review and context.","[""KB_009"", ""KB_050"", ""KB_030"", ""KB_001""]","[""1.2.276.0.7230010.3.1.4.8323329.14006.1517875249.93352"", ""1.2.276.0.7230010.3.1.4.8323329.4939.1517875185.563513"", ""1.2.276.0.7230010.3.1.4.8323329.1038.1517875166.7134"", ""1.2.276.0.7230010.3.1.4.8323329.1926.1517875170.276641"", ""1.2.276.0.7230010.3.1.4.8323329.4340.1517875182.354827""]"
G0_llm_only,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\9337_train_0_.png,0.050102874636650085,0,True,True,False,False,False,,False,False,False,False,78,"Clinical context: Screening for pneumothorax.
Technique: Chest radiograph.
Findings: The output is not suggestive of pneumothorax.
Impression: No evidence of pneumothorax is identified.
Recommendations: Clinical correlation is advised. Further imaging may be considered if there is a high clinical suspicion.
Limitations: This assessment is based on a screening output. Localization, laterality, size, extent, and assessment for tension physiology are not available from this output. The absence of findings on a single radiograph does not definitively exclude all pathology.",[],[]
G1_image_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\9337_train_0_.png,0.050102874636650085,0,True,True,False,False,False,,False,False,False,False,86,"Clinical context: Screening for pneumothorax.
Technique: Chest radiograph.
Findings: The output is not suggestive of pneumothorax.
Impression: No evidence of pneumothorax is suggested by this output.
Recommendations: Clinical correlation is required. The findings should be interpreted in the context of the full clinical presentation and physical examination.
Limitations: This output does not provide localization, laterality, size, extent, or assessment for tension physiology. The absence of suggested findings does not definitively exclude all pathology. The interpretation is based on a single view and should be considered preliminary.",[],[]
G2_text_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\9337_train_0_.png,0.050102874636650085,0,True,True,False,False,False,,False,False,False,False,100,"Clinical context: Screening for pneumothorax.
Technique: Chest radiograph.
Findings: The automated classification output is not suggestive of pneumothorax.
Impression: The output is not suggestive of pneumothorax. This is a binary classification result only; no localization, laterality, size, extent, or assessment for tension physiology is available from this output.
Recommendations: Human review and clinical correlation are required. False negatives can occur.
Limitations: This is a research-only decision support tool for binary classification. It must not be used as a standalone diagnostic tool. A negative prediction can occur in pneumothorax cases; therefore, reliance on human review and clinical context is essential.","[""KB_050"", ""KB_009"", ""KB_030"", ""KB_001""]",[]
G3_both,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\9337_train_0_.png,0.050102874636650085,0,True,True,False,False,False,,False,False,False,False,114,"Clinical context: Chest X-ray examination for pneumothorax screening.
Technique: Frontal chest radiograph.
Findings: The model output is strongly not suggestive of pneumothorax based on a calibrated probability far from the threshold. This is a binary classification-only result.
Impression: Not suggestive of pneumothorax (classification-only).
Recommendations: Human review and clinical correlation are required; false negatives can occur. This result provides no localization or severity assessment.
Limitations: This system provides research-only decision support. Outputs are limited to class probability and threshold-based label. It must not be used as a standalone diagnostic tool. A positive prediction can occur in non-pneumothorax cases; therefore, avoid escalation language and rely on human review and context.","[""KB_050"", ""KB_009"", ""KB_001"", ""KB_030""]","[""1.2.276.0.7230010.3.1.4.8323329.14006.1517875249.93352"", ""1.2.276.0.7230010.3.1.4.8323329.4939.1517875185.563513"", ""1.2.276.0.7230010.3.1.4.8323329.1038.1517875166.7134"", ""1.2.276.0.7230010.3.1.4.8323329.1926.1517875170.276641"", ""1.2.276.0.7230010.3.1.4.8323329.5038.1517875186.83236""]"
G0_llm_only,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\8353_train_0_.png,0.04323223978281021,0,True,True,False,False,False,,False,False,False,False,75,"Clinical context: Screening for pneumothorax.
Technique: Chest radiograph.
Findings: The findings are not suggestive of pneumothorax.
Impression: No evidence of pneumothorax is identified.
Recommendations: Clinical correlation is advised. The findings should be interpreted in the context of the patient's full clinical presentation.
Limitations: This assessment is based on a single frontal radiograph. Localization, laterality, size, extent, and assessment for tension physiology are not available from this output. Subtle or localized findings may not be detected.",[],[]
G1_image_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\8353_train_0_.png,0.04323223978281021,0,True,True,False,False,False,,False,False,False,False,120,"Clinical context: Screening for pneumothorax.
Technique: Chest radiograph.
Findings: The output is not suggestive of pneumothorax. Localization, laterality, size, extent, and assessment for tension physiology are not available from this output.
Impression: No evidence of pneumothorax is suggested by this output.
Recommendations: Clinical correlation is required. The findings should be integrated with the patient's clinical presentation and physical examination. A definitive diagnosis should not be based solely on this output.
Limitations: This output is intended for screening assistance only and is not a definitive diagnostic tool. False negative results are possible. The absence of suggested findings does not completely exclude the presence of a pneumothorax, particularly small or localized ones. The clinical context and a full radiological review are essential.",[],[]
